id,Slope,rep,Topo,Aspect,Scarification,cage,Caged,Eaten,previous,Herbivory,Severity,seeds,age,day.to.flower,day.to.seed,daysseeding,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar,germ,death,flowerday,seedday
18,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
19,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,4,133,120,133,0,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,6/2/2018,5/20/2018,6/2/2018
20,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
21,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
22,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
23,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
24,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
25,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,105,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/5/2018,,
26,swale,5,No.aspect Swale,no aspect,scarified,small,yes,yes,yes,2,severe,1,105,,105,0,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/5/2018,,5/5/2018
27,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,105,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/5/2018,,
28,swale,5,No.aspect Swale,no aspect,scarified,small,yes,yes,yes,1,mild,28,147,105,120,27,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,6/16/2018,5/5/2018,5/20/2018
29,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
30,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
31,swale,5,No.aspect Swale,no aspect,scarified,small,yes,yes,yes,1,mild,212,147,85,105,42,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,6/16/2018,4/15/2018,5/5/2018
32,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
33,swale,5,No.aspect Swale,no aspect,scarified,small,yes,yes,yes,1,mild,128,147,120,120,27,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,6/16/2018,5/20/2018,5/20/2018
34,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
35,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
36,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
37,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,4,119,105,105,14,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/19/2018,5/5/2018,5/5/2018
38,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
39,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,43,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,3/4/2018,,
40,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,43,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,3/4/2018,,
41,swale,5,No.aspect Swale,no aspect,scarified,small,yes,yes,yes,3,severe,0,120,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/20/2018,,
42,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
43,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,43,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,3/4/2018,,
44,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
45,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,133,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,6/2/2018,,
46,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,105,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/5/2018,,
47,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
48,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,105,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/5/2018,,
49,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
50,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
51,swale,5,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
52,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
53,swale,5,No.aspect Swale,no aspect,scarified,small,yes,yes,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
54,swale,5,No.aspect Swale,no aspect,unscarified,small,yes,yes,yes,3,severe,0,120,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/20/2018,,
55,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,120,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/20/2018,,
56,steep,4,No.aspect Swale,South,unscarified,big,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
57,steep,4,No.aspect Swale,south,unscarified,Big,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
58,steep,1,North Steep,north,unscarified,none,yes,no,yes,0,severe,0,14,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/3/2018,,
59,ridge,1,No.aspect Ridge,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
60,ridge,1,No.aspect Ridge,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
61,ridge,1,No.aspect Ridge,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
62,ridge,1,No.aspect Ridge,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
63,swale,5,No.aspect Swale,no aspect,scarified,small,yes,yes,yes,2,severe,0,106,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,2/3/2018,5/20/2018,,
64,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,91,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,2/3/2018,5/5/2018,,
65,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,91,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,2/3/2018,5/5/2018,,
66,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,2/3/2018,3/4/2018,,
67,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,91,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,2/3/2018,5/5/2018,,
68,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,71,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,2/3/2018,4/15/2018,,
69,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,14,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,2/18/2018,3/4/2018,,
70,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,42,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,4/15/2018,,
71,swale,5,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,42,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,4/15/2018,,
72,Swale,5,No.aspect Swale,no aspect,scarified,Small,yes,no,yes,0,none,0,77,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,5/20/2018,,
73,Swale,5,No.aspect Swale,no aspect,scarified,Small,yes,no,yes,0,none,0,62,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,5/5/2018,,
74,swale,5,No.aspect Swale,no aspect,unscarified,Small,yes,yes,yes,3,severe,14,90,62,77,13,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,6/2/2018,5/5/2018,5/20/2018
75,swale,5,No.aspect Swale,no aspect,unscarified,Small,yes,no,yes,0,none,0,62,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,5/5/2018,,
76,swale,5,No.aspect Swale,no aspect,unscarified,Small,yes,yes,yes,2,mild,0,42,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,4/15/2018,,
77,swale,5,No.aspect Swale,no aspect,unscarified,Small,yes,yes,yes,2,mild,0,42,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,4/15/2018,,
78,swale,5,No.aspect Swale,no aspect,scarified,Small,yes,yes,yes,2,mild,0,77,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,5/20/2018,,
79,steep,5,South Steep,South,scarified,Big,yes,no,yes,0,none,9,90,62,62,28,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,6/2/2018,5/5/2018,5/5/2018
80,steep,4,South Steep,south,unscarified,small,yes,yes,yes,1,mild,49,104,62,77,27,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,6/16/2018,5/5/2018,5/20/2018
81,steep,1,North Steep,North,scarified,small,yes,yes,yes,3,severe,10,90,62,62,28,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,6/2/2018,5/5/2018,5/5/2018
82,steep,1,North Steep,North,scarified,small,yes,no,yes,0,none,0,77,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,3/4/2018,5/20/2018,,
83,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,4,62,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,4/15/2018,6/16/2018,,
84,swale,5,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,48,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,4/15/2018,6/2/2018,,
85,Swale,5,No.aspect Swale,no aspect,scarified,Small,yes,no,yes,0,none,0,20,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,4/15/2018,5/5/2018,,
86,Steep,5,South Steep,South,unscarified,Big,yes,yes,yes,2,mild,50,48,20,20,28,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,4/15/2018,6/2/2018,5/5/2018,5/5/2018
87,Steep,5,South Steep,South,unscarified,Big,yes,yes,yes,2,mild,60,48,20,20,28,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,4/15/2018,6/2/2018,5/5/2018,5/5/2018
88,steep,2,North Steep,North,scarified,Big,yes,no,yes,0,none,0,35,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,4/15/2018,5/20/2018,,
89,ridge,1,No.aspect Ridge,no aspect,unscarified,small,yes,no,yes,0,none,0,48,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,4/15/2018,6/2/2018,,
