Slope,rep,Topo,Aspect,cage,germination,seeds,current.year,start.year
swale,6,No.aspect Swale,no.aspect,none,5,0,2,2
swale,6,No.aspect Swale,no.aspect,big,5,0,2,2
swale,6,No.aspect Swale,no.aspect,small,5,0,2,2
steep,4,South Steep,south,none,10,0,2,2
steep,4,South Steep,south,big,15,0,2,2
steep,4,South Steep,south,small,13,0,2,2
steep,5,South Steep,south,none,0,0,2,2
steep,5,South Steep,south,big,8,0,2,2
steep,5,South Steep,south,small,18,14,2,2
steep,6,South Steep,south,none,15,0,2,2
steep,6,South Steep,south,big,4,0,2,2
steep,6,South Steep,south,small,11,0,2,2
steep,1,North Steep,north,none,7,2,2,2
steep,1,North Steep,north,big,9,23,2,2
steep,1,North Steep,north,small,8,119,2,2
steep,2,North Steep,north,none,3,0,2,2
steep,2,North Steep,north,big,13,148,2,2
steep,2,North Steep,north,small,9,3,2,2
steep,3,North Steep,north,none,1,0,2,2
steep,3,North Steep,north,big,3,0,2,2
steep,3,North Steep,north,small,12,0,2,2
gentle,1,South Gentle,south,none,1,0,2,1
gentle,1,South Gentle,south,big,3,22,2,1
gentle,1,South Gentle,south,small,0,0,2,1
gentle,2,South Gentle,south,none,2,63,2,1
gentle,2,South Gentle,south,big,0,0,2,1
gentle,2,South Gentle,south,small,3,108,2,1
gentle,3,South Gentle,south,none,0,0,2,1
gentle,3,South Gentle,south,big,3,0,2,1
gentle,3,South Gentle,south,small,2,249,2,1
swale,1,No.aspect Swale,no.aspect,none,0,0,2,1
swale,1,No.aspect Swale,no.aspect,big,1,0,2,1
swale,1,No.aspect Swale,no.aspect,small,2,0,2,1
swale,2,No.aspect Swale,no.aspect,none,1,0,2,1
swale,2,No.aspect Swale,no.aspect,big,5,0,2,1
swale,2,No.aspect Swale,no.aspect,small,8,0,2,1
swale,3,No.aspect Swale,no.aspect,none,1,174,2,1
swale,3,No.aspect Swale,no.aspect,big,0,0,2,1
swale,3,No.aspect Swale,no.aspect,small,1,59,2,1
steep,1,South Steep,south,none,2,0,2,1
steep,1,South Steep,south,big,3,0,2,1
steep,1,South Steep,south,small,6,0,2,1
steep,2,South Steep,south,none,0,0,2,1
steep,2,South Steep,south,big,0,0,2,1
steep,2,South Steep,south,small,0,0,2,1
steep,3,South Steep,south,none,0,0,2,1
steep,3,South Steep,south,big,2,49,2,1
steep,3,South Steep,south,small,1,0,2,1
ridge,1,No.aspect Ridge,no.aspect,none,1,42,2,1
ridge,1,No.aspect Ridge,no.aspect,big,2,62,2,1
ridge,1,No.aspect Ridge,no.aspect,small,5,94,2,1
ridge,2,No.aspect Ridge,no.aspect,none,3,0,2,1
ridge,2,No.aspect Ridge,no.aspect,big,0,0,2,1
ridge,2,No.aspect Ridge,no.aspect,small,2,7,2,1
ridge,3,No.aspect Ridge,no.aspect,none,1,0,2,1
ridge,3,No.aspect Ridge,no.aspect,big,3,0,2,1
ridge,3,No.aspect Ridge,no.aspect,small,1,0,2,1
gentle,4,South Gentle,south,none,0,0,3,2
gentle,4,South Gentle,south,big,1,0,3,2
gentle,4,South Gentle,south,small,1,0,3,2
gentle,5,South Gentle,south,none,0,0,3,2
gentle,5,South Gentle,south,big,1,0,3,2
gentle,5,South Gentle,south,small,1,0,3,2
gentle,6,South Gentle,south,none,0,0,3,2
gentle,6,South Gentle,south,big,0,0,3,2
gentle,6,South Gentle,south,small,0,0,3,2
swale,4,No.aspect Swale,no.aspect,none,0,0,3,2
swale,4,No.aspect Swale,no.aspect,big,1,0,3,2
swale,4,No.aspect Swale,no.aspect,small,1,68,3,2
swale,5,No.aspect Swale,no.aspect,none,0,0,3,2
swale,5,No.aspect Swale,no.aspect,big,1,3,3,2
swale,5,No.aspect Swale,no.aspect,small,13,532,3,2
swale,6,No.aspect Swale,no.aspect,none,0,0,3,2
swale,6,No.aspect Swale,no.aspect,big,0,0,3,2
swale,6,No.aspect Swale,no.aspect,small,0,0,3,2
steep,4,South Steep,south,none,0,0,3,2
steep,4,South Steep,south,big,1,26,3,2
steep,4,South Steep,south,small,1,41,3,2
steep,5,South Steep,south,none,0,0,3,2
steep,5,South Steep,south,big,2,135,3,2
steep,5,South Steep,south,small,0,0,3,2
steep,6,South Steep,south,none,0,0,3,2
steep,6,South Steep,south,big,2,113,3,2
steep,6,South Steep,south,small,0,0,3,2
steep,1,North Steep,north,none,1,0,3,2
steep,1,North Steep,north,big,5,245,3,2
steep,1,North Steep,north,small,11,822,3,2
steep,2,North Steep,north,none,0,0,3,2
steep,2,North Steep,north,big,6,41,3,2
steep,2,North Steep,north,small,2,109,3,2
steep,3,North Steep,north,none,0,0,3,2
steep,3,North Steep,north,big,3,43,3,2
steep,3,North Steep,north,small,0,0,3,2
gentle,1,South Gentle,south,none,0,0,3,1
gentle,1,South Gentle,south,big,0,0,3,1
gentle,1,South Gentle,south,small,0,0,3,1
gentle,2,South Gentle,south,none,0,0,3,1
gentle,2,South Gentle,south,big,0,0,3,1
gentle,2,South Gentle,south,small,0,0,3,1
gentle,3,South Gentle,south,none,0,0,3,1
gentle,3,South Gentle,south,big,0,0,3,1
gentle,3,South Gentle,south,small,1,0,3,1
swale,1,No.aspect Swale,no.aspect,none,0,0,3,1
swale,1,No.aspect Swale,no.aspect,big,0,0,3,1
swale,1,No.aspect Swale,no.aspect,small,0,0,3,1
swale,2,No.aspect Swale,no.aspect,none,0,0,3,1
swale,2,No.aspect Swale,no.aspect,big,1,0,3,1
swale,2,No.aspect Swale,no.aspect,small,0,0,3,1
swale,3,No.aspect Swale,no.aspect,none,0,0,3,1
swale,3,No.aspect Swale,no.aspect,big,6,89,3,1
swale,3,No.aspect Swale,no.aspect,small,14,98,3,1
steep,1,South Steep,south,none,0,0,3,1
steep,1,South Steep,south,big,0,0,3,1
steep,1,South Steep,south,small,0,0,3,1
steep,2,South Steep,south,none,0,0,3,1
steep,2,South Steep,south,big,0,0,3,1
steep,2,South Steep,south,small,0,0,3,1
steep,3,South Steep,south,none,0,0,3,1
steep,3,South Steep,south,big,2,0,3,1
steep,3,South Steep,south,small,0,0,3,1
ridge,1,No.aspect Ridge,no.aspect,none,0,0,3,1
ridge,1,No.aspect Ridge,no.aspect,big,0,0,3,1
ridge,1,No.aspect Ridge,no.aspect,small,1,233,3,1
ridge,2,No.aspect Ridge,no.aspect,none,0,0,3,1
ridge,2,No.aspect Ridge,no.aspect,big,0,0,3,1
ridge,2,No.aspect Ridge,no.aspect,small,0,0,3,1
ridge,3,No.aspect Ridge,no.aspect,none,0,0,3,1
ridge,3,No.aspect Ridge,no.aspect,big,0,0,3,1
ridge,3,No.aspect Ridge,no.aspect,small,0,0,3,1
