id,Slope,rep,Topo,Aspect,Scarification,cage,Eaten,Herbivory,Severity,seedpods,ph,ec,som,nitrogen,carbon,germ,death,flowerday,seedday,age,day.to.flower,day.to.seed,year,Caged,previous,daysseeding,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar,avgleafherb,totalleafherb,seedherb,totalseedherb,totalherb
265,steep,1,North Steep,north,unscarified,big,no,0,none,0,6.145,21.75,5.545,0.044625775,0.7734109,2/16/2017,2/16/2017,NA,NA,0,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,steep,1,North Steep,north,unscarified,none,no,4,severe,0,6.29,15.95,2.665,0.03640489,0.2277488,3/14/2017,4/12/2017,NA,NA,29,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,steep,1,North Steep,north,scarified,small,yes,3,severe,62,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,5/31/2017,3/28/2017,4/12/2017,104,40,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,steep,1,North Steep,north,unscarified,small,yes,1,mild,5,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,5/10/2017,4/12/2017,4/26/2017,83,55,69,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,steep,1,North Steep,north,scarified,small,yes,3,severe,42,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,5/31/2017,4/26/2017,4/26/2017,104,69,69,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,steep,1,North Steep,north,scarified,small,yes,1,mild,166,5.51,29.55,7.945,0.031090675,0.57696615,3/14/2017,5/31/2017,3/14/2017,3/28/2017,78,0,14,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,steep,1,North Steep,north,unscarified,small,no,0,none,0,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,3/14/2017,NA,NA,26,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,steep,1,North Steep,north,unscarified,small,no,0,none,19,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,4/26/2017,3/14/2017,3/28/2017,69,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,steep,1,North Steep,north,unscarified,small,yes,2,mild,256,5.51,29.55,7.945,0.031090675,0.57696615,3/14/2017,5/10/2017,4/26/2017,4/26/2017,57,43,43,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,steep,1,North Steep,north,unscarified,small,yes,2,mild,251,5.51,29.55,7.945,0.031090675,0.57696615,3/14/2017,5/31/2017,4/12/2017,4/12/2017,78,29,29,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,steep,1,North Steep,north,unscarified,small,yes,2,mild,14,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,5/10/2017,4/12/2017,4/12/2017,83,55,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,steep,1,North Steep,north,unscarified,small,yes,1,mild,7,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,5/10/2017,4/12/2017,4/12/2017,83,55,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,steep,2,North Steep,north,unscarified,big,yes,4,severe,0,5.385,37.85,7.11,0,0.7806928,2/16/2017,4/26/2017,NA,NA,69,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,steep,2,North Steep,north,unscarified,big,yes,1,mild,25,5.385,37.85,7.11,0,0.7806928,2/16/2017,4/26/2017,3/14/2017,3/28/2017,69,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,steep,2,North Steep,north,unscarified,big,yes,1,mild,16,5.385,37.85,7.11,0,0.7806928,2/16/2017,4/26/2017,3/28/2017,4/12/2017,69,40,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,steep,2,North Steep,north,unscarified,big,no,0,none,0,5.385,37.85,7.11,0,0.7806928,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,steep,2,North Steep,north,unscarified,big,no,0,none,0,5.385,37.85,7.11,0,0.7806928,4/12/2017,4/26/2017,4/12/2017,NA,14,0,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,steep,2,North Steep,north,unscarified,big,no,0,none,0,5.385,37.85,7.11,0,0.7806928,2/16/2017,3/14/2017,NA,NA,26,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,steep,2,North Steep,north,unscarified,small,yes,2,mild,105,5.625,37.95,8.635,0,1.266846,2/16/2017,6/14/2017,3/14/2017,4/26/2017,118,26,69,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,steep,2,North Steep,north,unscarified,small,yes,3,severe,4,5.625,37.95,8.635,0,1.266846,2/16/2017,4/26/2017,3/14/2017,4/12/2017,69,26,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,steep,3,North Steep,north,unscarified,big,yes,3,severe,38,5.57,38.7,6.995,0.06428302,0.8171943,2/16/2017,6/14/2017,4/26/2017,4/26/2017,118,69,69,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,steep,3,North Steep,north,scarified,big,no,0,none,0,5.57,38.7,6.995,0.06428302,0.8171943,2/16/2017,4/26/2017,NA,NA,69,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,steep,3,North Steep,north,scarified,big,yes,2,mild,5,5.57,38.7,6.995,0.06428302,0.8171943,3/14/2017,4/12/2017,NA,NA,29,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,steep,1,Small Steep,small,unscarified,small,no,0,none,0,6.345,11.7,2.396,0.026917945,0.2678505,2/16/2017,4/12/2017,NA,NA,55,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,steep,3,South Steep,south,unscarified,big,yes,3,severe,0,5.74,31.4,1.818,0.03967767,0.6011692,2/16/2017,4/26/2017,NA,NA,69,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,steep,3,South Steep,south,unscarified,big,yes,3,severe,0,5.74,31.4,1.818,0.03967767,0.6011692,2/16/2017,4/26/2017,NA,NA,69,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,steep,4,South Steep,south,unscarified,big,yes,1,mild,26,5.99,32.8,2.95,0.039004985,0.5322551,2/16/2017,4/26/2017,3/14/2017,3/28/2017,69,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,steep,4,South Steep,south,unscarified,small,yes,1,mild,41,6.335,66.35,3.31,0.052005475,0.3698053,2/16/2017,4/26/2017,3/14/2017,3/14/2017,69,26,26,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,steep,5,South Steep,south,unscarified,big,yes,2,mild,135,6.45,34.05,2.84,0.05428337,0.62390005,2/16/2017,5/31/2017,3/28/2017,4/12/2017,104,40,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,steep,5,South Steep,south,unscarified,big,yes,2,mild,0,6.45,34.05,2.84,0.05428337,0.62390005,2/16/2017,5/10/2017,4/26/2017,NA,83,69,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,steep,6,South Steep,south,unscarified,big,no,0,none,0,6.295,26.9,3.415,0.04098806,0.29874805,2/16/2017,4/26/2017,NA,NA,69,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,steep,6,South Steep,south,unscarified,big,yes,2,mild,113,6.295,26.9,3.415,0.04098806,0.29874805,2/16/2017,4/26/2017,3/14/2017,3/28/2017,69,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,swale,2,No.aspect Swale,no.aspect,scarified,big,no,0,none,0,6.465,23.7,1.915,0.04445328,0.3876331,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,swale,3,No.aspect Swale,no.aspect,scarified,big,yes,3,severe,30,5.855,23.5,1.3555,0.01921891,0.5112983,2/16/2017,5/10/2017,3/28/2017,4/12/2017,83,40,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,swale,3,No.aspect Swale,no.aspect,scarified,big,yes,3,severe,54,5.855,23.5,1.3555,0.01921891,0.5112983,2/16/2017,5/10/2017,3/14/2017,3/28/2017,83,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,swale,3,No.aspect Swale,no.aspect,scarified,big,no,0,none,0,5.855,23.5,1.3555,0.01921891,0.5112983,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,swale,3,No.aspect Swale,no.aspect,unscarified,big,no,0,none,5,5.855,23.5,1.3555,0.01921891,0.5112983,2/16/2017,5/10/2017,4/26/2017,4/26/2017,83,69,69,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,swale,3,No.aspect Swale,no.aspect,unscarified,big,yes,3,severe,0,5.855,23.5,1.3555,0.01921891,0.5112983,3/28/2017,5/31/2017,4/26/2017,NA,64,29,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,swale,3,No.aspect Swale,no.aspect,scarified,big,yes,3,severe,0,5.855,23.5,1.3555,0.01921891,0.5112983,2/16/2017,4/26/2017,NA,NA,69,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,swale,3,No.aspect Swale,no.aspect,unscarified,small,yes,1,mild,27,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,5/31/2017,3/28/2017,4/12/2017,104,40,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,swale,3,No.aspect Swale,no.aspect,unscarified,small,yes,3,severe,5,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,5/31/2017,4/26/2017,4/26/2017,104,69,69,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,swale,3,No.aspect Swale,no.aspect,scarified,small,no,0,none,0,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,swale,3,No.aspect Swale,no.aspect,scarified,small,yes,0,none,0,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,swale,3,No.aspect Swale,no.aspect,unscarified,small,no,0,none,4,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,4/26/2017,3/28/2017,4/12/2017,69,40,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,swale,3,No.aspect Swale,no.aspect,scarified,small,no,0,none,2,6.3,14,3.81,0.058379525,0.5739372,NA,NA,NA,NA,0,0,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,swale,3,No.aspect Swale,no.aspect,unscarified,small,yes,2,mild,34,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,5/10/2017,3/14/2017,3/28/2017,83,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,swale,3,No.aspect Swale,no.aspect,scarified,small,no,0,none,0,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,3/14/2017,NA,NA,26,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,swale,3,No.aspect Swale,no.aspect,scarified,small,yes,3,severe,6,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,5/10/2017,3/28/2017,4/12/2017,83,40,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,swale,3,No.aspect Swale,no.aspect,unscarified,small,no,0,none,0,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,3/14/2017,NA,NA,26,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,swale,3,No.aspect Swale,no.aspect,unscarified,small,no,0,none,0,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,swale,3,No.aspect Swale,no.aspect,unscarified,small,yes,3,severe,11,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,5/31/2017,4/12/2017,4/12/2017,104,55,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,swale,3,No.aspect Swale,no.aspect,scarified,small,no,0,none,0,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,swale,3,No.aspect Swale,no.aspect,scarified,small,yes,2,mild,9,6.3,14,3.81,0.058379525,0.5739372,2/16/2017,5/31/2017,4/26/2017,5/10/2017,104,69,83,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,swale,4,No.aspect Swale,no.aspect,unscarified,big,no,0,none,0,6.38,28.1,2.07,0.055314835,0.5421546,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,swale,4,No.aspect Swale,no.aspect,unscarified,small,yes,3,severe,68,6.69,35.1,2.915,0.061559985,0.54151915,2/16/2017,5/10/2017,3/28/2017,3/28/2017,83,40,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,swale,5,No.aspect Swale,no.aspect,unscarified,big,yes,4,severe,3,6.25,26.75,4.731,0.0408588,1.25105595,2/16/2017,6/14/2017,4/26/2017,5/31/2017,118,69,104,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,swale,5,No.aspect Swale,no.aspect,scarified,small,yes,2,mild,113,6.775,20.75,2.575,0.052427105,0.468903,2/16/2017,5/10/2017,3/14/2017,3/28/2017,83,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,swale,5,No.aspect Swale,no.aspect,scarified,small,yes,3,severe,1,6.775,20.75,2.575,0.052427105,0.468903,3/14/2017,5/31/2017,5/10/2017,5/31/2017,78,57,78,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,swale,5,No.aspect Swale,no.aspect,unscarified,small,yes,1,mild,2,6.775,20.75,2.575,0.052427105,0.468903,4/12/2017,5/31/2017,4/26/2017,5/31/2017,49,14,49,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,swale,5,No.aspect Swale,no.aspect,scarified,small,no,0,none,0,6.775,20.75,2.575,0.052427105,0.468903,2/16/2017,3/28/2017,NA,NA,40,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,swale,5,No.aspect Swale,no.aspect,scarified,small,yes,1,mild,136,6.775,20.75,2.575,0.052427105,0.468903,2/16/2017,5/31/2017,4/12/2017,4/12/2017,104,55,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,swale,5,No.aspect Swale,no.aspect,scarified,small,yes,1,mild,51,6.775,20.75,2.575,0.052427105,0.468903,2/16/2017,5/10/2017,4/12/2017,4/12/2017,83,55,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,swale,5,No.aspect Swale,no.aspect,scarified,small,yes,2,mild,0,6.775,20.75,2.575,0.052427105,0.468903,3/14/2017,5/31/2017,4/26/2017,NA,78,43,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,swale,5,No.aspect Swale,no.aspect,unscarified,small,no,0,none,19,6.775,20.75,2.575,0.052427105,0.468903,2/16/2017,5/10/2017,3/14/2017,3/28/2017,83,26,40,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,swale,5,No.aspect Swale,no.aspect,scarified,small,no,0,none,0,6.775,20.75,2.575,0.052427105,0.468903,2/16/2017,4/26/2017,NA,NA,69,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,swale,5,No.aspect Swale,no.aspect,scarified,small,yes,2,mild,91,6.775,20.75,2.575,0.052427105,0.468903,2/16/2017,5/31/2017,4/12/2017,4/12/2017,104,55,55,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
